row_index,task_id,instructions,operands,blocks,control_edges,dataflow_edges,current_graph_chars,current_graph_cl100k_proxy_tokens,compact_positions_flat,compact_positions_pooled,flat_reduction_vs_proxy,pooled_reduction_vs_proxy
1965,sigless_0c28ea18fc09,119,206,21,28,29,10706,3473,347,141,10.009,24.631
1434,sigless_af88065cd8fc,126,214,21,27,29,10622,3468,362,148,9.58,23.432
436,sigless_15ca1575f7d1,123,212,20,27,27,10488,3466,356,144,9.736,24.069
1498,sigless_9774f6fe77cf,102,168,23,31,32,11025,3466,294,126,11.789,27.508
951,sigless_3b739e655234,135,227,19,25,24,10424,3464,382,155,9.068,22.348
1416,sigless_462e769671a2,109,189,21,28,45,10856,3456,320,131,10.8,26.382
2100,sigless_aad2118e9750,169,298,17,19,20,9959,3452,485,187,7.118,18.46
134,sigless_b470fb89200e,93,151,24,32,39,11099,3448,269,118,12.818,29.22
232,sigless_449274263de4,177,304,11,11,17,9280,3440,493,189,6.978,18.201
1451,sigless_8e061c7e8ea8,98,165,23,31,41,10945,3440,287,122,11.986,28.197
1954,sigless_8d4e0fe00b08,105,172,24,31,29,11013,3440,302,130,11.391,26.462
1088,sigless_4a3c2de2a07d,115,194,22,30,32,10806,3437,332,138,10.352,24.906
1947,sigless_8b39e27c170e,110,188,22,29,37,10828,3426,321,133,10.673,25.759
569,sigless_6620c6d3f56d,76,105,27,36,52,11585,3421,209,104,16.368,32.894
1605,sigless_546300f37df8,117,203,22,28,28,10468,3419,343,140,9.968,24.421
1977,sigless_bebb52019d4d,86,137,26,34,35,11076,3411,250,113,13.644,30.186
1584,sigless_349b49ac2473,109,180,24,31,36,10995,3403,314,134,10.838,25.396
1170,sigless_c293d02703cd,104,174,22,30,39,10828,3398,301,127,11.289,26.756
1779,sigless_3a9f318e1513,121,213,20,27,30,10274,3389,355,142,9.546,23.866
162,sigless_255a0b7d8178,109,183,23,31,29,10762,3387,316,133,10.718,25.466
869,sigless_9fef6df6e672,118,199,20,26,29,10392,3370,338,139,9.97,24.245
1647,sigless_28400c365daa,133,231,18,25,20,9977,3367,383,152,8.791,22.151
672,sigless_6cb3d2f3a1c6,104,179,23,31,32,10643,3365,307,128,10.961,26.289
703,sigless_7ad00c6e25b8,109,188,20,28,32,10372,3365,318,130,10.582,25.885
