problem_id,language,reference_length,cand_1_codebleu,cand_1_compile,cand_1_pass,cand_2_codebleu,cand_2_compile,cand_2_pass,cand_3_codebleu,cand_3_compile,cand_3_pass,cand_4_codebleu,cand_4_compile,cand_4_pass,cand_5_codebleu,cand_5_compile,cand_5_pass,cand_6_codebleu,cand_6_compile,cand_6_pass,cand_7_codebleu,cand_7_compile,cand_7_pass,cand_8_codebleu,cand_8_compile,cand_8_pass,cand_9_codebleu,cand_9_compile,cand_9_pass,cand_10_codebleu,cand_10_compile,cand_10_pass,cand_11_codebleu,cand_11_compile,cand_11_pass,cand_12_codebleu,cand_12_compile,cand_12_pass,cand_13_codebleu,cand_13_compile,cand_13_pass,cand_14_codebleu,cand_14_compile,cand_14_pass,cand_15_codebleu,cand_15_compile,cand_15_pass,cand_16_codebleu,cand_16_compile,cand_16_pass,cand_17_codebleu,cand_17_compile,cand_17_pass,cand_18_codebleu,cand_18_compile,cand_18_pass,cand_19_codebleu,cand_19_compile,cand_19_pass,cand_20_codebleu,cand_20_compile,cand_20_pass,cand_21_codebleu,cand_21_compile,cand_21_pass,cand_22_codebleu,cand_22_compile,cand_22_pass,cand_23_codebleu,cand_23_compile,cand_23_pass,cand_24_codebleu,cand_24_compile,cand_24_pass,cand_25_codebleu,cand_25_compile,cand_25_pass
20,dart,1239,0.30008,0,0,0.31079,0,0,0.3175,0,0,0.32351,0,0,0.31008,0,0,0.29913,0,0,0.37045,0,0,0.40223,0,0,0.3057,0,0,0.2998,0,0,0.31923,0,0,0.34714,0,0,0.30109,0,0,0.32844,0,0,0.05528,0,0,0.33001,0,0,0.33429,0,0,0.30911,0,0,0.3838,0,0,0.31622,0,0,0.4163,0,0,0.30977,0,0,0.36999,0,0,0.29936,0,0,0.34153,0,0
21,dart,1155,0.30413,0,0,0.29385,0,0,0.37002,0,0,0.31972,0,0,0.30859,0,0,0.39227,0,0,0.29383,0,0,0.36255,0,0,0.29105,0,0,0.33953,0,0,0.33335,0,0,0.35785,0,0,0.33817,0,0,0.40739,0,0,0.31258,0,0,0.33546,0,0,0.31156,0,0,0.30228,0,0,0.30205,0,0,0.327,0,0,0.44313,0,0,0.31327,0,0,0.30523,0,0,0.34898,0,0,0.35837,0,0
22,dart,1612,0.35382,0,0,0.29202,0,0,0.35188,0,0,0.29703,0,0,0.3499,0,0,0.28738,0,0,0.33389,0,0,0.29701,0,0,0.31349,0,0,0.29748,0,0,0.29393,0,0,0.34905,0,0,0.27987,0,0,0.29218,0,0,0.28849,0,0,0.30757,0,0,0.03953,0,0,0.3163,0,0,0.02773,0,0,0.34653,0,0,0.28816,0,0,0.30472,0,0,0.33166,0,0,0.02752,0,0,0.32759,0,0
23,dart,1086,0.3935,0,0,0.31046,0,0,0.34931,0,0,0.29445,0,0,0.32645,0,0,0.29281,0,0,0.35683,0,0,0.31537,0,0,0.38594,0,0,0.40438,0,0,0.31889,0,0,0.33473,0,0,0.34675,0,0,0.3214,0,0,0.34523,0,0,0.31168,0,0,0.31296,0,0,0.35434,0,0,0.31403,0,0,0.34415,0,0,0.36428,0,0,0.35728,0,0,0.35636,0,0,0.30076,0,0,0.33865,0,0
24,dart,165,0.07026,0,0,0.27446,0,0,0.29482,0,0,0.28251,0,0,0.32785,0,0,0.29881,0,0,0.28205,0,0,0.28324,0,0,0.2994,0,0,0.3083,0,0,0.27219,0,0,0.27943,0,0,0.27442,0,0,0.27982,0,0,0.27597,0,0,0.28936,0,0,0.28145,0,0,0.30584,0,0,0.29905,0,0,0.3211,0,0,0.33378,0,0,0.28765,0,0,0.28744,0,0,0.35122,0,0,0.30546,0,0
25,dart,516,0.32689,0,0,0.40204,0,0,0.32276,0,0,0.30548,0,0,0.3521,0,0,0.32002,0,0,0.3146,0,0,0.40721,0,0,0.34679,0,0,0.40784,0,0,0.31718,0,0,0.31297,0,0,0.3472,0,0,0.36991,0,0,0.34164,0,0,0.33259,0,0,0.377,0,0,0.32118,0,0,0.31921,0,0,0.31933,0,0,0.34999,0,0,0.29812,0,0,0.36038,0,0,0.33035,0,0,0.3326,0,0
26,dart,408,0.31321,0,0,0.35649,0,0,0.40081,0,0,0.33772,0,0,0.35348,0,0,0.39289,0,0,0.31001,0,0,0.30668,0,0,0.39911,0,0,0.34853,0,0,0.36002,0,0,0.30431,0,0,0.31582,0,0,0.31845,0,0,0.35012,0,0,0.39413,0,0,0.32958,0,0,0.34906,0,0,0.35699,0,0,0.33299,0,0,0.33293,0,0,0.3144,0,0,0.28055,0,0,0.33756,0,0,0.33428,0,0
27,dart,1193,0.39612,0,0,0.50849,0,0,0.41648,0,0,0.4647,0,0,0.39881,0,0,0.43125,0,0,0.35288,0,0,0.40235,0,0,0.43669,0,0,0.45144,0,0,0.41222,0,0,0.43922,0,0,0.42324,0,0,0.43872,0,0,0.52589,0,0,0.50627,0,0,0.46909,0,0,0.39671,0,0,0.39134,0,0,0.42034,0,0,0.36916,0,0,0.4407,0,0,0.38415,0,0,0.39345,0,0,0.45492,0,0
28,dart,1580,0.35448,0,0,0.40031,0,0,0.32792,0,0,0.33349,0,0,0.38248,0,0,0.43954,0,0,0.40965,0,0,0.4035,0,0,0.30449,0,0,0.3926,0,0,0.44863,0,0,0.31275,0,0,0.38981,0,0,0.33556,0,0,0.37404,0,0,0.35745,0,0,0.30103,0,0,0.39825,0,0,0.32191,0,0,0.4048,0,0,0.33496,0,0,0.3331,0,0,0.37866,0,0,0.34485,0,0,0.34622,0,0
29,dart,1518,0.41571,0,0,0.38544,0,0,0.47533,0,0,0.35229,0,0,0.37467,0,0,0.29064,0,0,0.32638,0,0,0.37595,0,0,0.34312,0,0,0.33438,0,0,0.32639,0,0,0.31439,0,0,0.35949,0,0,0.34983,0,0,0.32772,0,0,0.387,0,0,0.07246,0,0,0.33668,0,0,0.31718,0,0,0.35854,0,0,0.36769,0,0,0.28888,0,0,0.32925,0,0,0.30846,0,0,0.37717,0,0
